,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,year,month,day,Data Value
9877,386,Ozone (O3),Mean,ppb,UHF34,403.0,Flushing - Clearview,Summer 2020,2020,6,1,31.6
10503,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,407.0,Southwest Queens,2015,2015,1,1,14.3
5093,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302.0,Central Harlem - Morningside Heights,Winter 2014-15,2014,12,1,26.7
5855,386,Ozone (O3),Mean,ppb,Borough,2.0,Brooklyn,Summer 2009,2009,6,1,26.3
537,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203.0,Morrisania and Crotona (CD3),Annual Average 2016,2015,12,31,20.1
8116,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,305.0,Upper East Side,2015-2017,2015,1,1,24.6
13030,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101.0,Kingsbridge - Riverdale,Annual Average 2020,2020,1,1,15.9
8288,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,306.0,Chelsea - Clinton,2015-2017,2015,1,1,67.9
9852,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312.0,Borough Park (CD12),Summer 2017,2017,6,1,8.8
3727,386,Ozone (O3),Mean,ppb,CD,204.0,Highbridge and Concourse (CD4),Summer 2011,2011,6,1,30.8
15817,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203.0,Bedford Stuyvesant - Crown Heights,Annual Average 2019,2019,1,1,6.6
7574,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105.0,Midtown (CD5),Summer 2018,2018,6,1,12.9
7786,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201.0,Greenpoint,Winter 2016-17,2016,12,1,9.3
8822,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502.0,Northern SI,Winter 2020-21,2020,12,1,20.3
6787,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Summer 2022,2022,6,1,10.1
13201,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Summer 2019,2019,6,1,7.7
9280,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,203.0,Bedford Stuyvesant - Crown Heights,2015-2017,2015,1,1,22.3
17112,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,207.0,East Flatbush - Flatbush,2012-2014,2012,1,2,7.2
5455,386,Ozone (O3),Mean,ppb,UHF42,105.0,Crotona -Tremont,Summer 2021,2021,6,1,29.0
14799,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,208.0,Canarsie - Flatlands,Winter 2019-20,2019,12,1,6.9
4885,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108.0,Upper East Side (CD8),Annual Average 2009,2008,12,1,12.9
14769,375,Nitrogen dioxide (NO2),Mean,ppb,CD,312.0,Borough Park (CD12),Winter 2015-16,2015,12,1,23.9
1130,386,Ozone (O3),Mean,ppb,CD,311.0,Bensonhurst (CD11),Summer 2012,2012,6,1,34.9
4861,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,201.0,Greenpoint,2015-2017,2015,1,1,6.6
16650,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403.0,Flushing - Clearview,Summer 2021,2021,6,1,11.7
7147,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,105.0,Crotona -Tremont,Winter 2021-22,2021,12,1,22.4
1971,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Winter 2018-19,2018,12,1,8.2
4507,386,Ozone (O3),Mean,ppb,CD,205.0,Fordham and University Heights (CD5),Summer 2019,2019,6,1,28.7
9837,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101.0,Kingsbridge - Riverdale,Winter 2019-20,2019,12,1,21.3
13934,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104.0,Clinton and Chelsea (CD4),Annual Average 2014,2013,12,1,29.2
9694,375,Nitrogen dioxide (NO2),Mean,ppb,CD,110.0,Central Harlem (CD10),Annual Average 2015,2015,1,1,23.3
6474,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,405.0,Ridgewood - Forest Hills,2015-2017,2015,1,1,43.3
7030,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,303.0,East Harlem,2017-2019,2017,1,1,5.0
5056,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205.0,Fordham and University Heights (CD5),Summer 2018,2018,6,1,9.0
15843,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,410.0,Rockaways,Summer 2012,2012,6,1,9.4
3319,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106.0,High Bridge - Morrisania,Annual Average 2012,2011,12,1,24.2
2239,386,Ozone (O3),Mean,ppb,UHF42,305.0,Upper East Side,Summer 2021,2021,6,1,27.8
5303,386,Ozone (O3),Mean,ppb,CD,209.0,Parkchester and Soundview (CD9),Summer 2015,2015,6,1,31.2
1814,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),Summer 2022,2022,6,1,17.5
4317,375,Nitrogen dioxide (NO2),Mean,ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),Annual Average 2014,2013,12,1,23.6
14493,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Winter 2020-21,2020,12,1,18.7
10035,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",Borough,2.0,Brooklyn,2015-2017,2015,1,1,18.2
10544,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,103.0,Fordham - Bronx Pk,2005-2007,2005,1,1,84.1
5753,386,Ozone (O3),Mean,ppb,UHF42,107.0,Hunts Point - Mott Haven,2-Year Summer Average 2009-2010,2009,6,1,27.7
14451,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,308.0,Greenwich Village - SoHo,2019,2019,1,1,10.1
11357,643,Annual vehicle miles traveled,Million miles,per square mile,CD,209.0,Parkchester and Soundview (CD9),2010,2010,1,1,63.2
14181,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,411.0,Bayside and Little Neck (CD11),Summer 2011,2011,6,1,11.0
14462,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,207.0,East Flatbush - Flatbush,2009-2011,2009,1,1,43.2
847,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109.0,Morningside Heights and Hamilton Heights (CD9),Summer 2013,2013,6,1,10.8
5400,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Winter 2012-13,2012,12,1,25.7
1643,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,105.0,Crotona -Tremont,2012-2014,2012,1,2,20.8
7610,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Summer 2012,2012,6,1,16.7
9497,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206.0,Borough Park,Annual Average 2009,2008,12,1,10.3
7309,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,101.0,Kingsbridge - Riverdale,Annual Average 2021,2021,1,1,6.6
7096,386,Ozone (O3),Mean,ppb,CD,202.0,Hunts Point and Longwood (CD2),Summer 2010,2010,6,1,33.7
3364,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,205.0,Sunset Park,Summer 2018,2018,6,1,14.4
2102,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101.0,Financial District (CD1),Annual Average 2015,2015,1,1,26.7
15968,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,407.0,Flushing and Whitestone (CD7),2019,2019,1,1,38.3
189,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,207.0,East Flatbush - Flatbush,2009-2011,2009,1,1,115.8
816,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207.0,East Flatbush - Flatbush,Annual Average 2017,2017,1,1,18.8
13187,386,Ozone (O3),Mean,ppb,UHF42,105.0,Crotona -Tremont,Summer 2013,2013,6,1,30.2
16964,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409.0,Southeast Queens,Winter 2013-14,2013,12,1,10.4
8499,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2010,2009,12,1,10.3
17988,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,208.0,Canarsie - Flatlands,2005,2005,1,1,34.3
5234,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314.0,Flatbush and Midwood (CD14),Summer 2014,2014,6,1,8.6
9669,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504.0,South Beach - Tottenville,Summer 2018,2018,6,1,7.4
1167,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,Winter 2019-20,2019,12,1,28.6
9431,375,Nitrogen dioxide (NO2),Mean,ppb,CD,318.0,Flatlands and Canarsie (CD18),Summer 2015,2015,6,1,10.8
2368,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109.0,Morningside Heights and Hamilton Heights (CD9),Summer 2014,2014,6,1,9.2
1547,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206.0,Borough Park,Winter 2014-15,2014,12,1,8.7
16681,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205.0,Sunset Park,Summer 2022,2022,6,1,6.7
8773,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,403.0,Flushing - Clearview,Summer 2014,2014,6,1,8.2
7162,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,304.0,Upper West Side,2009-2011,2009,1,1,25.5
14103,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308.0,Chelsea-Village,Summer 2014,2014,6,1,11.5
798,375,Nitrogen dioxide (NO2),Mean,ppb,CD,201.0,Mott Haven and Melrose (CD1),Winter 2014-15,2014,12,1,25.9
15235,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201.0,Greenpoint,Annual Average 2017,2017,1,1,9.0
5718,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101.0,Financial District (CD1),Summer 2013,2013,6,1,12.2
12529,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,211.0,Williamsburg - Bushwick,2011,2011,1,1,1.4
14339,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),Winter 2017-18,2017,12,1,23.6
7424,386,Ozone (O3),Mean,ppb,CD,312.0,Borough Park (CD12),Summer 2011,2011,6,1,32.4
17712,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102.0,Northeast Bronx,Winter 2020-21,2020,12,1,6.3
8866,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302.0,Central Harlem - Morningside Heights,Annual Average 2015,2015,1,1,23.2
16269,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,102.0,Northeast Bronx,2009-2011,2009,1,1,5.4
9616,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304.0,Upper West Side,Summer 2022,2022,6,1,14.7
3346,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Winter 2019-20,2019,12,1,23.8
11520,386,Ozone (O3),Mean,ppb,CD,210.0,Throgs Neck and Co-op City (CD10),Summer 2021,2021,6,1,30.7
1848,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102.0,Greenwich Village and Soho (CD2),Winter 2013-14,2013,12,1,34.0
7166,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Summer 2019,2019,6,1,7.8
14384,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402.0,Woodside and Sunnyside (CD2),Winter 2021-22,2021,12,1,7.3
5187,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502.0,Northern SI,Winter 2019-20,2019,12,1,21.0
7286,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403.0,Flushing - Clearview,Winter 2019-20,2019,12,1,22.9
7816,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407.0,Southwest Queens,Winter 2018-19,2018,12,1,6.9
8502,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2019,2019,6,1,7.8
3655,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103.0,Fordham - Bronx Pk,Annual Average 2014,2013,12,1,19.4
7681,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,302.0,Central Harlem - Morningside Heights,2017-2019,2017,1,1,4.0
9953,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,105.0,Crotona -Tremont,2017-2019,2017,1,1,67.0
13720,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,316.0,Brownsville (CD16),Annual Average 2013,2012,12,1,8.8
1813,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),Annual Average 2012,2011,12,1,34.5
3698,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,501.0,St. George and Stapleton (CD1),Winter 2016-17,2016,12,1,7.2
16816,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Citywide,1.0,New York City,2009-2011,2009,1,1,48.2
11444,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,206.0,Belmont and East Tremont (CD6),Summer 2012,2012,6,1,10.8
7172,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,204.0,East New York,2009-2011,2009,1,1,85.0
8607,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,204.0,East New York,2017-2019,2017,1,1,99.0
14980,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207.0,East Flatbush - Flatbush,Summer 2014,2014,6,1,15.1
3140,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204.0,East New York,Annual Average 2015,2015,1,1,19.1
12309,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2019,2019,1,1,77.6
12628,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,407.0,Southwest Queens,2014,2014,1,1,1.3
12316,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,205.0,Sunset Park,2009-2011,2009,1,1,38.7
5584,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,410.0,Rockaways,2015-2017,2015,1,1,39.0
15445,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310.0,Union Square-Lower Manhattan,Annual Average 2011,2010,12,1,11.7
9155,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406.0,Rego Park and Forest Hills (CD6),Winter 2012-13,2012,12,1,25.0
16372,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310.0,Lower Manhattan,Annual Average 2019,2019,1,1,8.2
10598,386,Ozone (O3),Mean,ppb,UHF34,206.0,Borough Park,Summer 2012,2012,6,1,33.4
2877,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204.0,East New York,Annual Average 2015,2015,1,1,8.7
12781,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,402.0,West Queens,2012-2014,2012,1,2,26.3
9146,375,Nitrogen dioxide (NO2),Mean,ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),Summer 2015,2015,6,1,16.6
10976,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,207.0,East Flatbush - Flatbush,2012-2014,2012,1,2,67.6
17504,375,Nitrogen dioxide (NO2),Mean,ppb,CD,405.0,Ridgewood and Maspeth (CD5),Winter 2017-18,2017,12,1,25.7
8513,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,204.0,East New York,2012-2014,2012,1,2,36.1
3081,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206.0,Borough Park,Summer 2020,2020,6,1,6.7
4457,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2012,2011,12,1,10.5
2411,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205.0,Sunset Park,Winter 2010-11,2010,12,1,13.5
10518,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302.0,Central Harlem - Morningside Heights,Annual Average 2014,2013,12,1,23.9
8805,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Winter 2018-19,2018,12,1,7.8
8843,386,Ozone (O3),Mean,ppb,CD,313.0,Coney Island (CD13),Summer 2021,2021,6,1,32.4
16886,386,Ozone (O3),Mean,ppb,UHF34,208.0,Canarsie - Flatlands,Summer 2019,2019,6,1,34.1
14546,386,Ozone (O3),Mean,ppb,CD,410.0,South Ozone Park and Howard Beach (CD10),Summer 2022,2022,6,1,35.5
7605,386,Ozone (O3),Mean,ppb,UHF34,401.0,Long Island City - Astoria,Summer 2018,2018,6,1,29.7
11482,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",Borough,5.0,Staten Island,2009-2011,2009,1,1,16.3
5360,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Summer 2017,2017,6,1,9.1
3924,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409.0,Kew Gardens and Woodhaven (CD9),Summer 2018,2018,6,1,8.2
9931,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,402.0,West Queens,2017-2019,2017,1,1,73.0
10748,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,308.0,Greenwich Village - SoHo,2015-2017,2015,1,1,6.5
16179,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Winter 2008-09,2008,12,1,15.1
4070,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,404.0,Elmhurst and Corona (CD4),Annual Average 2009,2008,12,1,10.7
11600,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Summer 2012,2012,6,1,19.5
9258,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,502.0,Stapleton - St. George,2015-2017,2015,1,1,78.7
4557,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108.0,Upper East Side (CD8),Annual Average 2010,2009,12,1,11.9
3038,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212.0,Williamsbridge and Baychester (CD12),Summer 2017,2017,6,1,9.2
4212,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112.0,Washington Heights and Inwood (CD12),Winter 2016-17,2016,12,1,26.5
9408,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309.0,Union Square - Lower East Side,Summer 2017,2017,6,1,10.2
10308,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2.0,Brooklyn,Winter 2016-17,2016,12,1,24.7
9291,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406.0,Rego Park and Forest Hills (CD6),Annual Average 2009,2008,12,1,25.0
15333,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202.0,Downtown - Heights - Slope,Annual Average 2021,2021,1,1,7.1
13546,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406.0,Rego Park and Forest Hills (CD6),Summer 2011,2011,6,1,19.6
14754,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),Annual Average 2017,2017,1,1,18.2
16671,386,Ozone (O3),Mean,ppb,UHF34,503504.0,Southern SI,Summer 2014,2014,6,1,31.7
10915,375,Nitrogen dioxide (NO2),Mean,ppb,CD,301.0,Greenpoint and Williamsburg (CD1),Winter 2013-14,2013,12,1,29.9
4275,386,Ozone (O3),Mean,ppb,UHF34,408.0,Jamaica,Summer 2016,2016,6,1,33.9
17439,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Winter 2008-09,2008,12,1,29.7
12542,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504.0,South Beach - Tottenville,Annual Average 2009,2008,12,1,9.6
3860,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406.0,Rego Park and Forest Hills (CD6),Annual Average 2021,2021,1,1,15.8
15938,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,502.0,Stapleton - St. George,2019,2019,1,1,30.4
15098,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102.0,Northeast Bronx,Summer 2021,2021,6,1,12.4
3526,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,301.0,Washington Heights,2012-2014,2012,1,2,10.5
4527,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,311.0,Bensonhurst (CD11),Winter 2019-20,2019,12,1,7.3
12885,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,308.0,Greenwich Village - SoHo,2017-2019,2017,1,1,26.0
8274,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,407.0,Southwest Queens,Winter 2019-20,2019,12,1,7.4
3090,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209.0,Bensonhurst - Bay Ridge,Annual Average 2018,2018,1,1,6.7
6730,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,305.0,East New York and Starrett City (CD5),Summer 2016,2016,6,1,8.2
15285,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204.0,East New York,Winter 2020-21,2020,12,1,22.2
1498,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202.0,Downtown - Heights - Slope,Winter 2010-11,2010,12,1,13.9
2621,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,501.0,St. George and Stapleton (CD1),Annual Average 2011,2010,12,1,9.6
12765,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308.0,Chelsea-Village,Annual Average 2016,2015,12,31,27.6
10973,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,407.0,Southwest Queens,2012-2014,2012,1,2,4.1
1974,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Annual Average 2011,2010,12,1,10.1
8039,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203.0,Morrisania and Crotona (CD3),Summer 2009,2009,6,1,24.7
7379,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102.0,Greenwich Village and Soho (CD2),Summer 2017,2017,6,1,10.7
7119,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402.0,West Queens,Annual Average 2020,2020,1,1,17.8
9086,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,306.0,Chelsea - Clinton,2015,2015,1,1,4.9
1867,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2018,2018,6,1,12.2
1031,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Winter 2008-09,2008,12,1,36.4
13660,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Summer 2010,2010,6,1,12.1
890,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,203.0,Bedford Stuyvesant - Crown Heights,2012-2014,2012,1,2,164.8
7564,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102.0,Northeast Bronx,Annual Average 2012,2011,12,1,20.0
12672,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Winter 2020-21,2020,12,1,6.6
5592,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502.0,Northern SI,Annual Average 2013,2012,12,1,16.4
9274,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,402.0,West Queens,2015-2017,2015,1,1,12.7
13591,386,Ozone (O3),Mean,ppb,CD,405.0,Ridgewood and Maspeth (CD5),Summer 2012,2012,6,1,33.7
1513,375,Nitrogen dioxide (NO2),Mean,ppb,CD,316.0,Brownsville (CD16),Annual Average 2012,2011,12,1,21.9
8352,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Winter 2014-15,2014,12,1,33.9
7280,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),Summer 2015,2015,6,1,25.6
15978,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,405.0,Ridgewood - Forest Hills,Summer 2017,2017,6,1,13.8
1718,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,202.0,Hunts Point and Longwood (CD2),Summer 2022,2022,6,1,7.5
8198,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,101.0,Kingsbridge - Riverdale,2012-2014,2012,1,2,22.7
4519,386,Ozone (O3),Mean,ppb,UHF34,410.0,Rockaways,Summer 2013,2013,6,1,36.8
9016,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1.0,Bronx,Annual Average 2010,2009,12,1,22.2
4315,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402.0,West Queens,Summer 2018,2018,6,1,14.9
7122,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111.0,East Harlem (CD11),Winter 2012-13,2012,12,1,12.0
12045,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,1.0,Bronx,2015-2017,2015,1,1,44.4
4239,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Annual Average 2019,2019,1,1,7.2
5320,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,410.0,Rockaways,Annual Average 2014,2013,12,1,7.7
14670,375,Nitrogen dioxide (NO2),Mean,ppb,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),Winter 2014-15,2014,12,1,26.4
1593,375,Nitrogen dioxide (NO2),Mean,ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),Summer 2017,2017,6,1,15.7
10119,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403.0,Flushing - Clearview,Annual Average 2011,2010,12,1,21.9
6533,643,Annual vehicle miles traveled,Million miles,per square mile,CD,307.0,Sunset Park (CD7),2010,2010,1,1,90.1
1458,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2022,2022,1,1,6.1
12891,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402.0,West Queens,Annual Average 2017,2017,1,1,20.6
13396,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Winter 2014-15,2014,12,1,25.8
7076,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402.0,Woodside and Sunnyside (CD2),Summer 2009,2009,6,1,12.1
6277,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408.0,Jamaica,Summer 2014,2014,6,1,8.1
